State,District,Solar Irradiance,Cropping Intensity(%),Irrigation Intensity (%),IWU (% of CWU),Elect(%),GW_dev_stage (%),Surface water area (km2)-%,Cultivated land (%),Electricity Subsidy,GW share irr (% of IWU),WL (m),Small& Marginal % Holdings
bihar,Aurangabad,4.98,148.86,0,57.32,3,25.13,17.17,66.89,67.5,37.82,6.3,94.48
manipur,Churachandpur,4.59,100,2.6,34.98,0,6.18,0,100,515,0,1.84,92.32
assam,Hailakandi,4.63,151.17,0.2,35.53,1,2.55,31.76,34.89,465,16.94,1.3,89.76
manipur,Imphal East,4.63,100,8.5,39.05,0,8.07,0.13,100,515,0.06,3.3,90.12
jharkhand,Godda,4.72,117.08,14.5,44.39,3,21.28,22.54,21.02,95,48.22,7,82.48
manipur,Imphal West,4.55,100,14.4,34.83,0,11.05,0.19,100,515,0.04,2.85,86.51
bihar,Madhubani,4.57,155.91,45.8,51.08,38,42.23,52.81,55.37,67.5,57.48,2.9,97.74
manipur,Thoubal,4.54,100,10.9,38.52,0,9.84,0.18,100,515,0,1.44,86.46
jharkhand,Bokaro,4.92,111.3,9.4,37.65,0,42.55,13.7,9.18,95,46.7,6.3,84.8
jharkhand,Chatra,5.35,147.07,21,50.62,100,35.16,45.61,5.89,95,49.47,8.09,90.1
manipur,Senapati,4.33,100,0,35.79,0,0,0,100,515,0.06,3.2,83.54
manipur,Ukhrul,4.32,100,0,35.59,0,0,0,100,515,0.11,2.37,85.44
jharkhand,Hazaribagh,5.05,134.79,24.6,47.09,3,36.81,30.27,9.31,95,71.26,8.58,91.78
jharkhand,Saraikela-kharsawan,5,105.18,0.8,35.41,15,22.9,2.37,25.43,95,8.56,5.7,84.86
mizoram,Aizawl,4.66,100,8.2,36.25,0,13.13,0.01,6.54,380,0,1.75,86.87
bihar,Arwal,4.88,123.29,89.7,59.32,7,43.27,32.22,41.41,67.5,58.53,4.8,96.65
bihar,Banka,4.81,128.09,87.8,45.31,49,30.44,86.45,37.87,67.5,24.88,5.01,96.67
west bengal,Bankura,4.91,171.69,11.6,42.98,4,36.34,2.27,51.48,460,33.93,5.05,89.83
odisha,Bargarh,5.12,135.81,44.8,37.89,14,54.37,0.73,56.59,150,13.25,3.26,85.21
bihar,Bhojpur,4.86,120.56,91.5,65.43,13,47.24,1.04,81.65,67.5,29.65,6.5,95.63
west bengal,Birbhum,4.8,180.66,18.4,48.44,58,31.48,3.14,72.63,460,29.77,7.41,91.5
manipur,Bishnupur,4.69,100,3,38.19,99,5.69,15.96,100,515,0.01,2,84.56
assam,Cachar,4.55,150.41,1.6,33.12,1,3.42,0.26,33.3,465,2.28,1.45,87.58
bihar,Gaya,4.99,104.74,90.7,61.32,10,48.08,13.48,34.44,67.5,45.92,6.2,96.73
bihar,Gopalganj,4.67,117.05,81.8,67.9,44,49.22,6.2,68.1,67.5,68.03,4.04,98.63
madhya pradesh,Jhabua,5.37,166.09,30.6,76.49,97,44.79,0.66,60.77,135,46.45,7.8,83.1
jharkhand,Kodarma,4.96,122.14,25,54.28,2,66.44,26.52,7.14,95,55.34,6.5,89.68
mizoram,Lawangtlai,4.86,100,20.2,43.8,0,3.4,0.01,5.38,380,0,1.79,88.17
mizoram,Lunglei,4.77,100,8.2,40.33,0,3.8,0.01,3.86,380,0,1.77,94.43
mizoram,Saiha,4.8,100,4.6,43.95,0,5.38,0,8.18,380,0,1.69,86.48
assam,Sivasagar,4.23,104.12,20.9,26.32,4,4.98,0.21,54.96,465,9.25,3.8,81.48
chhattisgarh,Surguja,5.19,114.51,11.1,43.27,0,42.58,4.59,30.17,0,29.27,7.34,81.11
west bengal,Darjiling,3.89,123.56,7,23.41,19,15.65,0.09,52.54,460,47.02,4.19,98.1
assam,Darrang,4.35,125.74,16.6,38.15,2,35.03,0.12,58.57,465,41.37,4.09,91.12
maharashtra,Jalna,5.33,119.72,18,70.2,18,54.85,2.8,79.08,155,95.32,8.2,79.38
assam,Jorhat,4.28,110.74,0.5,29.37,0,12.61,0.23,60.28,465,43.5,1.9,82.52
assam,Karimganj,4.59,113.16,3.7,35.43,5,4.27,1.16,40.33,465,31.52,0.9,80.53
assam,Morigaon,4.44,165.32,4.5,41.5,3,30.52,0.48,51.64,465,46.02,3.6,88.19
chhattisgarh,Narayanpur,5.18,100.95,0.6,48.39,100,4.33,0.14,3.59,0,0,2.3,56.33
manipur,Tamenglong,4.36,100,0,36.25,0,0,0.02,100,515,0,3.26,36.06
odisha,Cuttack,4.92,122.52,45.7,35.37,23,45.67,0.06,35.33,150,12.86,3.29,97.54
odisha,Ganjam,4.98,127.32,56.7,34.41,41,40.87,12.61,43.75,150,7.67,3.7,95.08
assam,Golaghat,4.33,127.74,0.3,34.05,8,6.12,0.27,40.93,465,27.96,4.04,83.41
jharkhand,Jamtara,4.89,102.28,5.2,40.54,6,44.8,2.16,34.56,95,31.29,5.3,74.86
jharkhand,Khunti,5.09,138.31,8.6,39.32,3,27.05,10.2,21.11,95,71.76,5.9,73.6
maharashtra,Kolhapur,5.23,126.48,18.4,69.84,79,42.45,0.93,58.61,155,39.75,3.5,92.3
jharkhand,Lohardaga,5.15,121.11,22.3,36.54,12,15.1,11.03,28.71,95,92.79,6.75,75.59
bihar,Madhepura,4.59,151.27,72.5,47.8,1,40.99,0.19,71.81,67.5,41.76,3.8,96.24
mizoram,Mamit,4.7,100,9,34.77,0,1.94,0.07,5.84,380,0,2.17,62.61
maharashtra,Raigarh,5.16,110.5,23.1,42.85,100,17.94,4.7,38.77,155,20.63,3.6,80.94
odisha,Sambalpur,5.09,110.63,19.3,36.22,70,29.83,9.81,31.43,150,10.31,4.8,84.79
mizoram,Serchhip,4.77,100,12.8,40.49,0,5.76,0.03,17.34,380,0,1.7,78.8
assam,Tinsukia,4.04,110.99,0.5,21.61,2,5.14,0.15,34.49,465,19.64,3.09,82.35
assam,Udalguri,4.35,132,11.1,33.56,33,12.06,0.41,57.61,465,40.86,2.8,88.13
