State,District,Solar Irradiance,Cultivated land (%),Cropping Intensity(%),Irrigation Intensity (%),IWU (% of CWU),Cultivated land (%),Cropping Intensity(%),Irrigation Intensity (%),IWU (% of CWU),Text-Crop,GW share irr (% of IWU),GW_dev_stage (%),Aquifer type,Number of SW bodies,Surface water area (km2),Surface water area (km2)-%,GW share irr (% of IWU),GW_dev_stage (%),Surface water area (km2),Text-Water,Number of pumps,Elect(%),Diesel (%),GW_abstracted (MCM),Electricity Tariff,GWL (m),Elect(%),emission factor,Emission (kgCO2),Text-Energy,Small& Marginal % Holdings,Avg Area per holding (ALLGrps),Avg. No. of Parcel per holdings (Allgrps),Small& Marginal % Holdings,Avg Area_class,parcel_class,Text-Farmer,DISCOM Name,DISCOM Name-shrt,DISCOM Rating,Feeder segregation,Feeder segregation,Electricity Tariff,Electricity Subsidy,Text-Utilty,Community-SIP,Community-SIP-text,SW-SIP,SW-SIP-BI,Pump,DISCOM-R,Feeder segregation,Text-Model,Text-Model-n,Model-short
telangana,Adilabad,5.27,50.17,117.00,26.20,64.45,High,Low,Moderate,High,"District has High proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Moderate with High irrigation water requirements.",51.89,28.28,HR,2377.00,8.51,0.05,High,Low,High,"Groundwater contribution to irrigation is High with current groundwater development stage classified as Low. There are 2377 surface water bodies, covering 0.1% of district area.",100.00,100.00,0,838.8757,0.00,6.90,1,0.278,0.01,"District has 100 pumps, with 100 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 838 MCM of groundwater.",80.90,1.41,1.93,Very High,3.00,Moderate,Small and Marginal farmers hold 80 % of holdings. The average area per holding is 1.41 ha with Moderate fragmentation of land.,Northern Power Distribution Company of Telangana Limited (TSNPDCL),,C,No,,0.00,Very High,Northern Power Distribution Company of Telangana Limited (TSNPDCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C. ,,,,,Electric,,No,"Electric pump proportion is higher, however low DISCOM rating and low feeder segregation suggests that implementing PM-KUSUM C model may be challenging. Existing diesel pumps can be prioritised under PM-KUSUM B while investments are made to strengthen DISCOM and feeder segregations. ","Electric pump proportion is higher, however low DISCOM rating and low feeder segregation suggests that implementing PM-KUSUM C model may be challenging. Existing diesel pumps can be prioritised under PM-KUSUM B while investments are made to strengthen DISCOM and feeder segregations. ",PM-KUSUM B + DISCOM
madhya pradesh,Agar Malwa,5.33,68.56,171.40,41.00,71.26,High,Moderate,Moderate,Very High,"District has High proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is Moderate with Very High irrigation water requirements.",80.26,89.94,HR,692.00,38.54,1.35,Very High,Semi-critical,4,"Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Semi-critical. There are 692 surface water bodies, covering 1.4% of district area.",100.00,97.00,3,363.3696,135.00,10.31,1,0.271856,0.01,"District has 100 pumps, with 97 % of pumps being electric. The electric tariff subsidy is High. These pumps abstract 363 MCM of groundwater.",74.41,1.54,3.51,High,3.00,Very High,Small and Marginal farmers hold 74 % of holdings. The average area per holding is 1.54 ha with Very High fragmentation of land.,Madhya Pradesh Paschim Kshetra Vidyut Company Limited (MPPaKVVCL),,A,Yes,More than 70 % of feeder is segregated.,135.00,High,Madhya Pradesh Paschim Kshetra Vidyut Company Limited (MPPaKVVCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is A. More than 70 % of feeder is segregated.,Community SIP, Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred, High groundwater development suggests that new SIPs should focus on surface water sources. ,Yes,Electric,High,Yes,High DISCOM rating alongside feeder segregation and need for groundwater management suggests PM-KUSUM model C (IPS) may be preferred to incentivise groundwater conservation. Model C (FLS) may be promoted with appropriate innovation to incentivise groundwater conservation.,High DISCOM rating alongside feeder segregation and need for groundwater management suggests PM-KUSUM model C (IPS) may be preferred to incentivise groundwater conservation. Model C (FLS) may be promoted with appropriate innovation to incentivise groundwater conservation. High groundwater development suggests that new SIPs should focus on surface water sources.  Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,PM-KUSUM model C (IPS)
uttar pradesh,Agra,4.92,64.40,164.90,65.90,67.42,High,Moderate,High,High,"District has High proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is High with High irrigation water requirements.",88.01,116.38,HR,2421.00,7.36,0.20,Very High,Over-exploited,2,"Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Over-exploited. There are 2421 surface water bodies, covering 0.2% of district area.",100.00,99.00,1,6.7996,0.00,21.60,1,0.275952,0.00,"District has 100 pumps, with 99 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 6 MCM of groundwater.",84.89,1.12,2.14,Very High,3.00,High,Small and Marginal farmers hold 84 % of holdings. The average area per holding is 1.12 ha with High fragmentation of land.,Dakshinanchal Vidyut Vitran Nigam Limited (DVVNL),,C-,No,,0.00,Very High,Dakshinanchal Vidyut Vitran Nigam Limited (DVVNL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C-. ,Community SIP, Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred, High groundwater development suggests that new SIPs should focus on surface water sources. ,Yes,Electric,,No,"Electric pump proportion is higher, however low DISCOM rating and low feeder segregation suggests that implementing PM-KUSUM C model may be challenging. Existing diesel pumps can be prioritised under PM-KUSUM B while investments are made to strengthen DISCOM and feeder segregations. ","Electric pump proportion is higher, however low DISCOM rating and low feeder segregation suggests that implementing PM-KUSUM C model may be challenging. Existing diesel pumps can be prioritised under PM-KUSUM B while investments are made to strengthen DISCOM and feeder segregations.  High groundwater development suggests that new SIPs should focus on surface water sources.  Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred",PM-KUSUM B + DISCOM
gujarat,Ahmadabad,5.36,68.92,147.00,59.30,82.89,High,Moderate,High,Very High,"District has High proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is High with Very High irrigation water requirements.",68.88,87.32,SR,1964.00,64.65,0.79,High,Semi-critical,4,"Groundwater contribution to irrigation is High with current groundwater development stage classified as Semi-critical. There are 1964 surface water bodies, covering 0.8% of district area.",100.00,100.00,0,370.5003,60.00,21.10,1,0.278,0.02,"District has 100 pumps, with 100 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 370 MCM of groundwater.",58.24,2.36,1.69,Moderate,2.00,Moderate,Small and Marginal farmers hold 58 % of holdings. The average area per holding is 2.36 ha with Moderate fragmentation of land.,Torrent Power Surat (Torrent Power Surat),,A+,Yes,More than 70 % of feeder is segregated.,60.00,Very High,Torrent Power Surat (Torrent Power Surat) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is A+. More than 70 % of feeder is segregated.,,,,,Electric,High,Yes,High DISCOM rating alongside feeder segregation and higher proportion of electric pumps suggests both PM-KUSUM model C (IPS and FLS) may be preferred.,High DISCOM rating alongside feeder segregation and higher proportion of electric pumps suggests both PM-KUSUM model C (IPS and FLS) may be preferred.,PM-KUSUM model C (IPS and FLS) 
maharashtra,Ahmadnagar,5.53,65.85,121.60,21.70,74.57,High,Low,Low,Very High,"District has High proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Low with Very High irrigation water requirements.",84.79,79.20,HR,4994.00,72.52,0.43,Very High,Semi-critical,4,"Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Semi-critical. There are 4994 surface water bodies, covering 0.4% of district area.",100.00,100.00,0,1207.851,155.00,9.45,1,0.278,0.03,"District has 100 pumps, with 100 % of pumps being electric. The electric tariff subsidy is Moderate. These pumps abstract 1207 MCM of groundwater.",82.54,1.35,1.56,Very High,3.00,Moderate,Small and Marginal farmers hold 82 % of holdings. The average area per holding is 1.35 ha with Moderate fragmentation of land.,Maharashtra State Electricity Distribution Company Limited (MSEDCL),,C,Yes,More than 70 % of feeder is segregated.,155.00,Moderate,Maharashtra State Electricity Distribution Company Limited (MSEDCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C. More than 70 % of feeder is segregated.,,, High groundwater development suggests that new SIPs should focus on surface water sources. ,Yes,Electric,,Yes,"Electric pump proportion is higher, with more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM. High groundwater development suggests PM-KUSUM (IPS) may be preferred to incentivise groundwater conservation.","Electric pump proportion is higher, with more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM. High groundwater development suggests PM-KUSUM (IPS) may be preferred to incentivise groundwater conservation. High groundwater development suggests that new SIPs should focus on surface water sources. ",PM-KUSUM (IPS) + DISCOM
mizoram,Aizawl,4.66,6.54,100.00,8.20,36.25,Low,Low,Low,Moderate,"District has Low proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Low with Moderate irrigation water requirements.",0.00,13.13,HR,279.00,0.45,0.01,Low,Low,1,"Groundwater contribution to irrigation is Low with current groundwater development stage classified as Low. There are 279 surface water bodies, covering 0% of district area.",100.00,0.00,0,4.4319,380.00,1.75,4,0,0.00,"District has 100 pumps, with 0 % of pumps being electric. The electric tariff subsidy is Low. These pumps abstract 4 MCM of groundwater.",86.87,1.09,1.14,Very High,3.00,Low,Small and Marginal farmers hold 86 % of holdings. The average area per holding is 1.09 ha with Low fragmentation of land.,#N/A,,#N/A,No data,,380.00,Low,No data on DISCOM,,,,,Diesel,,No data,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred.,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred.,PM-KUSUM B
rajasthan,Ajmer,5.42,54.17,139.20,18.70,74.18,High,Low,Low,Very High,"District has High proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Low with Very High irrigation water requirements.",90.43,142.91,SR,3519.00,2497.62,27.85,Very High,Over-exploited,4,"Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Over-exploited. There are 3519 surface water bodies, covering 27.9% of district area.",100.00,97.00,3,605.8033,167.00,8.52,1,0.271856,0.01,"District has 100 pumps, with 97 % of pumps being electric. The electric tariff subsidy is Moderate. These pumps abstract 605 MCM of groundwater.",76.00,1.66,5.09,High,3.00,Very High,Small and Marginal farmers hold 76 % of holdings. The average area per holding is 1.66 ha with Very High fragmentation of land.,Ajmer Vidyut Vitran Nigam Limited (AVVNL),(AVVNL),B,No,,167.00,Moderate,Ajmer Vidyut Vitran Nigam Limited (AVVNL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is B. ,Community SIP, Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred, High groundwater development suggests that new SIPs should focus on surface water sources. ,Yes,Electric,High,No,High DISCOM rating alongside feeder segregation and need for groundwater management suggests PM-KUSUM model C (IPS) may be preferred to incentivise groundwater conservation. Model C (FLS) may be promoted with appropriate innovation to incentivise groundwater conservation.,High DISCOM rating alongside feeder segregation and need for groundwater management suggests PM-KUSUM model C (IPS) may be preferred to incentivise groundwater conservation. Model C (FLS) may be promoted with appropriate innovation to incentivise groundwater conservation. High groundwater development suggests that new SIPs should focus on surface water sources.  Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,PM-KUSUM model C (IPS)
maharashtra,Akola,5.31,81.47,120.90,8.10,65.70,Very High,Low,Low,High,"District has Very High proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Low with High irrigation water requirements.",92.76,65.59,SR,433.00,21.55,0.38,Very High,Moderate,4,"Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Moderate. There are 433 surface water bodies, covering 0.4% of district area.",100.00,90.00,9,237.992,155.00,14.80,1,0.256788,0.01,"District has 100 pumps, with 90 % of pumps being electric. The electric tariff subsidy is Moderate. These pumps abstract 237 MCM of groundwater.",75.29,1.50,1.29,High,3.00,Moderate,Small and Marginal farmers hold 75 % of holdings. The average area per holding is 1.5 ha with Moderate fragmentation of land.,Maharashtra State Electricity Distribution Company Limited (MSEDCL),,C,Yes,More than 70 % of feeder is segregated.,155.00,Moderate,Maharashtra State Electricity Distribution Company Limited (MSEDCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C. More than 70 % of feeder is segregated.,,, High groundwater development suggests that new SIPs should focus on surface water sources. ,Yes,Electric,,Yes,"Electric pump proportion is higher, with more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM. High groundwater development suggests PM-KUSUM (IPS) may be preferred to incentivise groundwater conservation.","Electric pump proportion is higher, with more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM. High groundwater development suggests PM-KUSUM (IPS) may be preferred to incentivise groundwater conservation. High groundwater development suggests that new SIPs should focus on surface water sources. ",PM-KUSUM (IPS) + DISCOM
kerala,Alappuzha,5.34,61.13,133.70,44.60,23.06,High,Low,Moderate,Low,"District has High proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Moderate with Low irrigation water requirements.",61.87,39.33,SR,4239.00,1.69,0.13,High,Low,1,"Groundwater contribution to irrigation is High with current groundwater development stage classified as Low. There are 4239 surface water bodies, covering 0.1% of district area.",100.00,100.00,0,141.7688,195.00,3.70,1,0.278,0.00,"District has 100 pumps, with 100 % of pumps being electric. The electric tariff subsidy is Moderate. These pumps abstract 141 MCM of groundwater.",99.48,0.07,1.04,Very High,4.00,Low,Small and Marginal farmers hold 99 % of holdings. The average area per holding is 0.07 ha with Low fragmentation of land.,Kerala State Electricity Board Limited (KSEBL) ,,B-,No,,195.00,Moderate,Kerala State Electricity Board Limited (KSEBL)  is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is B-. ,Community SIP, Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,,,Electric,,No,"Electric pump proportion is higher, however low DISCOM rating and low feeder segregation suggests that implementing PM-KUSUM C model may be challenging. Existing diesel pumps can be prioritised under PM-KUSUM B while investments are made to strengthen DISCOM and feeder segregations. ","Electric pump proportion is higher, however low DISCOM rating and low feeder segregation suggests that implementing PM-KUSUM C model may be challenging. Existing diesel pumps can be prioritised under PM-KUSUM B while investments are made to strengthen DISCOM and feeder segregations.  Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred",PM-KUSUM B + DISCOM
uttar pradesh,Aligarh,4.86,82.14,185.60,85.80,75.13,Very High,High,Very High,Very High,"District has Very High proportion of area under cultivation, supporting High cropping intensity. Irrigation coverage is Very High with Very High irrigation water requirements.",78.06,80.41,SR,2410.00,8.83,0.22,Very High,Semi-critical,3,"Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Semi-critical. There are 2410 surface water bodies, covering 0.2% of district area.",100.00,60.00,40,30.0132,0.00,7.80,2,0.19608,0.00,"District has 100 pumps, with 60 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 30 MCM of groundwater.",86.55,1.01,1.96,Very High,3.00,Moderate,Small and Marginal farmers hold 86 % of holdings. The average area per holding is 1.01 ha with Moderate fragmentation of land.,Dakshinanchal Vidyut Vitran Nigam Limited (DVVNL),,C-,No,,0.00,Very High,Dakshinanchal Vidyut Vitran Nigam Limited (DVVNL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C-. ,,, High groundwater development suggests that new SIPs should focus on surface water sources. ,Yes,mix,,No,"Both electric and diesel pumps are present. With more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM. High groundwater development suggests PM-KUSUM (IPS) may be preferred to incentivise groundwater conservation. ","Both electric and diesel pumps are present. With more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM. High groundwater development suggests PM-KUSUM (IPS) may be preferred to incentivise groundwater conservation.  High groundwater development suggests that new SIPs should focus on surface water sources. ",PM-KUSUM (IPS) + DISCOM
