District,Adapt_new,Mitigate_new,Replace_new,Combine,Commnity_SIP
Thoubal,Very High,Low,Very Low,Adaptation,
Bokaro,Very High,High,Low,Adaptation + Mitigation,
Senapati,Very High,Low,Very Low,Adaptation,
Ukhrul,Very High,Very Low,Very Low,Adaptation,
Saraikela-kharsawan,Very High,Low,Very Low,Adaptation,
Aizawl,Very High,Low,Very Low,Adaptation,
Bargarh,Very High,Very Low,Low,Adaptation,
Bishnupur,Very High,Moderate,Low,Adaptation,
Lawangtlai,Very High,Very Low,Very Low,Adaptation,
Lunglei,Very High,Very Low,Very Low,Adaptation,
Saiha,Very High,Very Low,Very Low,Adaptation,
Jalna,Very High,Very High,Moderate,Adaptation + Mitigation,
Jorhat,Very High,Moderate,Very Low,Adaptation,
Narayanpur,Moderate,Very Low,Very Low,,
Tamenglong,Very High,Very Low,Very Low,Adaptation,
Jamtara,High,Moderate,Very Low,Adaptation,
Khunti,High,High,Low,Adaptation + Mitigation,
Lohardaga,High,High,Low,Adaptation + Mitigation,
Mamit,Very High,Very Low,Very Low,Adaptation,
Sambalpur,Very High,Very Low,Low,Adaptation,
Serchhip,Very High,Very Low,Very Low,Adaptation,
Tinsukia,Very High,Very Low,Very Low,Adaptation,
Nandurbar,High,Moderate,Low,Adaptation,
Kalahandi,Very High,Moderate,Low,Adaptation,
Malkangiri,Very High,Very Low,Very Low,Adaptation,
East Khasi Hills,Very High,Low,Very Low,Adaptation,
Kolasib,High,Very Low,Very Low,Adaptation,
Namsai,High,Very Low,Very Low,Adaptation,
Nuapada,Very High,Very Low,Very Low,Adaptation,
Pashchimi Singhbhum,Moderate,Very Low,Very Low,,
Sundargarh,Very High,Very Low,Very Low,Adaptation,
West Kameng,High,Very Low,Very Low,Adaptation,
Bid,Very High,Very High,Very High,All,
Balangir,Very High,Low,Very Low,Adaptation,
Chandrapur,Very High,Very Low,Low,Adaptation,
Latehar,Moderate,Moderate,Very Low,,
Tirap,Moderate,Very Low,Very Low,,
Lower Subansiri,Moderate,Very Low,Very Low,,
Nanded,Very High,High,Moderate,Adaptation + Mitigation,
North Goa,Very High,Very Low,Low,Adaptation,
Pune,Very High,High,Very High,All,
Ranchi,Very High,High,Low,Adaptation + Mitigation,
Rayagada,Very High,Low,Very Low,Adaptation,
South West Khasi Hills,High,Very Low,Very Low,Adaptation,
Zunheboto,High,Very Low,Very Low,Adaptation,
Anantapur,High,Low,Moderate,Adaptation,
Bagalkot,Moderate,High,Moderate,Mitigation,
Belgaum,Moderate,Very High,Low,Mitigation,
Chandel,Very High,Very Low,Very Low,Adaptation,
Harda,Moderate,High,Moderate,Mitigation,
Parbhani,Very High,High,Very High,All,
Raichur,Very High,Low,Moderate,Adaptation,
West Garo Hills,High,Very Low,Very Low,Adaptation,
Anjaw,Moderate,Very Low,Very Low,,
Aurangabad-M,High,Very High,Very High,All,
Bellary,High,Very High,Low,Adaptation + Mitigation,
Gadag,Moderate,Low,High,GW Sustainability,
Karaikal,High,Moderate,Moderate,Adaptation,
Koppal,High,Low,High,Adaptation + GW Sustainability,
Kurnool,High,Moderate,Moderate,Adaptation,
Nabarangapur,Very High,Very Low,Very Low,Adaptation,
Nagpur,High,High,Low,Adaptation + Mitigation,
Papum Pare,Moderate,Very Low,Very Low,,
Ri Bhoi,High,Very Low,Very Low,Adaptation,
Rohtak,Moderate,Low,High,GW Sustainability,
Solapur,Moderate,Low,High,GW Sustainability,
South West Garo Hills,Moderate,Low,Very Low,,
Yadgir,High,Low,Moderate,Adaptation,
Ahmadnagar,High,Moderate,High,Adaptation + GW Sustainability,
Dimapur,Moderate,Very Low,Very Low,,
Hanumangarh,Moderate,Low,Moderate,,
Kiphire,Moderate,Very Low,Very Low,,
Longleng,Moderate,Very Low,Very Low,,
Mahbubnagar,High,Moderate,Very High,Adaptation + GW Sustainability,
Prakasam,High,Low,Moderate,Adaptation,
Raigarh-C,Moderate,Very Low,Low,,
Valsad,High,Moderate,High,Adaptation + GW Sustainability,
Hingoli,High,Very High,Moderate,Adaptation + Mitigation,
Osmanabad,Very High,Moderate,High,Adaptation + GW Sustainability,
Davanagere,Moderate,Very Low,High,GW Sustainability,
Lakhimpur,Moderate,Moderate,Very Low,,
