District,Adapt,Mitigate,Replace,General_SI,1Cult_land1,1Crop_Int,1Irrig_Inte,1IWU,1GW_Irr_Sh,1GW_Dev,1no_of_SWB,1SW_body,1ElectPtg,1DieselPtg,1el_Tariff,1S_M_Hold,1ALLGrps,1ALLGrpsNo,1DISCOMNam,1DISCOMRat,1Feederseg
Adilabad,Moderate,Moderate,High,GW Sustainability,50.17,117.0,26.2,64.45,51.89,28.28,2377.0,0.05,100.0,,,80.9,1.41,1.93,Northern Power Distribution Company of Telangana Limited (TSNPDCL),C,No
Agar Malwa,Low,Very High,Very High,Mitigation + GW Sustainability,68.56,171.4,41.0,71.26,80.26,89.94,692.0,1.35,97.0,3.0,135.0,74.41,1.54,3.51,Madhya Pradesh Paschim Kshetra Vidyut Company Limited (MPPaKVVCL),A,Yes
Agra,Very Low,Very High,Very High,Mitigation + GW Sustainability,64.4,164.9,65.9,67.42,88.01,116.38,2421.0,0.2,99.0,1.0,,84.89,1.12,2.14,Dakshinanchal Vidyut Vitran Nigam Limited (DVVNL),C-,No
Ahmadabad,Very Low,High,High,Mitigation + GW Sustainability,68.92,147.0,59.3,82.89,68.88,87.32,1964.0,0.79,100.0,,60.0,58.24,2.36,1.69,Torrent Power Surat (Torrent Power Surat),A+,Yes
Ahmadnagar,High,Moderate,High,Adaptation + GW Sustainability,65.85,121.6,21.7,74.57,84.79,79.2,4994.0,0.43,100.0,,155.0,82.54,1.35,1.56,Maharashtra State Electricity Distribution Company Limited (MSEDCL),C,Yes
Aizawl,Very High,Low,Very Low,Adaptation,6.54,100.0,8.2,36.25,,13.13,279.0,0.01,,,380.0,86.87,1.09,1.14,,,No data
Ajmer,High,Moderate,Very High,Adaptation + GW Sustainability,54.17,139.2,18.7,74.18,90.43,142.91,3519.0,27.85,97.0,3.0,167.0,76.0,1.66,5.09,Ajmer Vidyut Vitran Nigam Limited (AVVNL),B,No
Akola,High,High,Moderate,Adaptation + Mitigation,81.47,120.9,8.1,65.7,92.76,65.59,433.0,0.38,90.0,9.0,155.0,75.29,1.5,1.29,Maharashtra State Electricity Distribution Company Limited (MSEDCL),C,Yes
Alappuzha,High,Low,Low,Adaptation,61.13,133.7,44.6,23.06,61.87,39.33,4239.0,0.13,100.0,,195.0,99.48,0.07,1.04,Kerala State Electricity Board Limited (KSEBL),B-,No
Aligarh,Very Low,Very High,Very High,Mitigation + GW Sustainability,82.14,185.6,85.8,75.13,78.06,80.41,2410.0,0.22,60.0,40.0,,86.55,1.01,1.96,Dakshinanchal Vidyut Vitran Nigam Limited (DVVNL),C-,No
Alipurduar,Moderate,High,Very Low,Mitigation,47.71,178.9,,25.03,67.58,10.65,1348.0,0.12,,,460.0,97.75,0.74,1.31,West Bengal State Electricity Distribution Company Limited (WBSEDCL),B-,No
Alirajpur,High,Moderate,Low,Adaptation,44.21,122.7,17.6,75.11,53.3,43.32,803.0,0.78,98.0,,135.0,73.06,1.6,3.23,Madhya Pradesh Paschim Kshetra Vidyut Company Limited (MPPaKVVCL),A,Yes
Allahabad,Low,Very High,High,Mitigation + GW Sustainability,60.37,162.6,89.0,75.68,53.84,73.27,7565.0,1.07,41.0,59.0,,93.37,0.69,1.92,Purvanchal Vidyut Vitran Nigam Limited (PuVVNL),C-,Yes
Almora,Moderate,Very Low,Low,No Data,13.9,141.7,,46.23,0.13,,178.0,,89.0,11.0,285.0,95.62,0.86,3.83,Uttarakhand Power Corporation Limited (UPCL),B-,Yes
Alwar,Very Low,Very High,Very High,Mitigation + GW Sustainability,62.57,177.7,60.7,66.88,96.99,182.88,2.0,0.06,100.0,,167.0,84.5,1.17,3.59,Jaipur Vidyut Vitran Nigam Limited (JVVNL),B,No
Ambala,Very Low,Low,Very High,GW Sustainability,96.68,192.7,94.8,65.82,93.69,123.06,775.0,0.32,100.0,,10.0,72.13,1.84,1.0,Uttar Haryana Bijli Vitran Nigam Limited (UHBVNL),A+,Yes
Ambedkar Nagar,Very Low,Very High,High,Mitigation + GW Sustainability,72.72,167.8,95.9,74.8,89.69,62.98,3316.0,0.6,43.0,57.0,,97.61,0.51,1.66,Madhyanchal Vidyut Vitran Nigam Limited (MVVNL),C-,Yes
Amethi,Low,Very High,Moderate,Mitigation,60.69,165.6,89.1,73.82,67.01,64.61,3283.0,0.44,5.0,94.0,,96.52,0.56,1.91,Madhyanchal Vidyut Vitran Nigam Limited (MVVNL),C-,Yes
Amravati,Moderate,Moderate,Moderate,No Data,54.9,118.3,9.0,65.6,90.92,91.83,1699.0,0.68,60.0,39.0,155.0,74.53,1.6,1.37,Maharashtra State Electricity Distribution Company Limited (MSEDCL),C,Yes
Amreli,Moderate,High,Very High,Mitigation + GW Sustainability,76.12,107.3,37.4,78.71,99.15,50.38,1876.0,0.51,100.0,,60.0,60.15,2.2,1.01,Paschim Gujarat Vij Company Limited (PGVCL),A+,Yes
Amritsar,Very Low,High,Very High,Mitigation + GW Sustainability,83.14,189.8,100.0,66.69,78.37,178.11,1055.0,0.25,100.0,,,33.13,3.58,1.23,Punjab State Power Corporation Limited (PSPCL),B,Yes
Amroha,Very Low,Very High,High,Mitigation + GW Sustainability,72.12,160.3,87.3,76.05,88.13,91.75,1456.0,,14.0,85.0,,90.13,0.84,1.84,Paschimanchal Vidyut Vitran Nigam Limited (PVVNL),B,Yes
Anand,Low,Very High,High,Mitigation + GW Sustainability,70.26,178.2,95.5,79.32,61.94,22.84,1634.0,1.29,20.0,74.0,60.0,89.46,1.0,1.0,Madhya Gujarat Vij Company Limited (MGVCL),A+,Yes
Anantapur,High,Low,Moderate,Adaptation,44.63,105.0,18.6,70.21,73.47,33.28,50537.0,2.58,100.0,,,72.01,1.59,1.63,Southern Power Distribution Company of Andhra Pradesh Limited (APSPDCL),B-,Yes
Anantnag,Moderate,Low,Moderate,No Data,62.77,150.6,72.8,54.19,0.47,22.33,161.0,0.01,93.0,7.0,235.0,99.11,0.41,2.7,,,No data
Anjaw,Moderate,Very Low,Very Low,No Data,40.87,113.6,,19.37,5.07,,,,,,290.0,53.0,3.9,2.06,,,No data
Anugul,High,Low,Low,Adaptation,19.46,105.7,11.9,35.03,25.8,53.08,1102.0,3.34,,,150.0,96.6,0.66,1.59,TP Central Odisha Distribution Limited (TPCODL),A+,No data
Anuppur,High,Low,Low,Adaptation,41.96,124.1,2.7,63.7,36.61,23.52,2962.0,1.08,100.0,,135.0,76.59,1.58,2.76,Madhya Pradesh Poorv Kshetra Vidyut Vitaran Company Limited (MPPoKVVCL),B-,Yes
Araria,Moderate,Very High,Low,Mitigation,31.35,134.7,74.9,40.27,73.33,26.08,1981.0,8.19,19.0,81.0,67.5,95.98,0.55,1.37,North Bihar Power Distribution Company Ltd (NBPDCL),C,Yes
Aravalli,Low,Very High,High,Mitigation + GW Sustainability,69.02,154.0,65.6,79.21,97.76,41.92,1410.0,1.02,91.0,6.0,60.0,71.15,1.72,2.0,Uttar Gujarat Vij Company Limited (UGVCL),A+,Yes
Ariyalur,High,Very High,Low,Adaptation + Mitigation,50.34,115.8,39.2,53.99,64.77,52.02,2293.0,1.76,,,,94.74,0.59,1.36,Tamil Nadu Generation and Distribution Corporation Limited (TANGEDCO),C-,No
