District,Text-Crop,Text-Water,Text-Energy,Text-Farmer,Text-Utilty,Text-Model
Adilabad,"District has High proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Moderate with High irrigation water requirements.","Groundwater contribution to irrigation is High with current groundwater development stage classified as Low. There are 2377 surface water bodies, covering 0.1% of district area.","District has 100 pumps, with 100 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 838 MCM of groundwater.",Small and Marginal farmers hold 80 % of holdings. The average area per holding is 1.41 ha with Moderate fragmentation of land.,Northern Power Distribution Company of Telangana Limited (TSNPDCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C.,"Electric pump proportion is higher, however low DISCOM rating and low feeder segregation suggests that implementing PM-KUSUM C model may be challenging. Existing diesel pumps can be prioritised under PM-KUSUM B while investments are made to strengthen DISCOM and feeder segregations."
Agar Malwa,"District has High proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is Moderate with Very High irrigation water requirements.","Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Semi-critical. There are 692 surface water bodies, covering 1.4% of district area.","District has 100 pumps, with 97 % of pumps being electric. The electric tariff subsidy is High. These pumps abstract 363 MCM of groundwater.",Small and Marginal farmers hold 74 % of holdings. The average area per holding is 1.54 ha with Very High fragmentation of land.,Madhya Pradesh Paschim Kshetra Vidyut Company Limited (MPPaKVVCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is A. More than 70 % of feeder is segregated.,High DISCOM rating alongside feeder segregation and need for groundwater management suggests PM-KUSUM model C (IPS) may be preferred to incentivise groundwater conservation. Model C (FLS) may be promoted with appropriate innovation to incentivise groundwater conservation.
Agra,"District has High proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is High with High irrigation water requirements.","Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Over-exploited. There are 2421 surface water bodies, covering 0.2% of district area.","District has 100 pumps, with 99 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 6 MCM of groundwater.",Small and Marginal farmers hold 84 % of holdings. The average area per holding is 1.12 ha with High fragmentation of land.,Dakshinanchal Vidyut Vitran Nigam Limited (DVVNL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C-.,"Electric pump proportion is higher, however low DISCOM rating and low feeder segregation suggests that implementing PM-KUSUM C model may be challenging. Existing diesel pumps can be prioritised under PM-KUSUM B while investments are made to strengthen DISCOM and feeder segregations."
Ahmadabad,"District has High proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is High with Very High irrigation water requirements.","Groundwater contribution to irrigation is High with current groundwater development stage classified as Semi-critical. There are 1964 surface water bodies, covering 0.8% of district area.","District has 100 pumps, with 100 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 370 MCM of groundwater.",Small and Marginal farmers hold 58 % of holdings. The average area per holding is 2.36 ha with Moderate fragmentation of land.,Torrent Power Surat (Torrent Power Surat) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is A+. More than 70 % of feeder is segregated.,High DISCOM rating alongside feeder segregation and higher proportion of electric pumps suggests both PM-KUSUM model C (IPS and FLS) may be preferred.
Ahmadnagar,"District has High proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Low with Very High irrigation water requirements.","Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Semi-critical. There are 4994 surface water bodies, covering 0.4% of district area.","District has 100 pumps, with 100 % of pumps being electric. The electric tariff subsidy is Moderate. These pumps abstract 1207 MCM of groundwater.",Small and Marginal farmers hold 82 % of holdings. The average area per holding is 1.35 ha with Moderate fragmentation of land.,Maharashtra State Electricity Distribution Company Limited (MSEDCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C. More than 70 % of feeder is segregated.,"Electric pump proportion is higher, with more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM. High groundwater development suggests PM-KUSUM (IPS) may be preferred to incentivise groundwater conservation."
Aizawl,"District has Low proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Low with Moderate irrigation water requirements.","Groundwater contribution to irrigation is Low with current groundwater development stage classified as Low. There are 279 surface water bodies, covering 0% of district area.","District has 100 pumps, with 0 % of pumps being electric. The electric tariff subsidy is Low. These pumps abstract 4 MCM of groundwater.",Small and Marginal farmers hold 86 % of holdings. The average area per holding is 1.09 ha with Low fragmentation of land.,No data on DISCOM,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred.
Ajmer,"District has High proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Low with Very High irrigation water requirements.","Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Over-exploited. There are 3519 surface water bodies, covering 27.9% of district area.","District has 100 pumps, with 97 % of pumps being electric. The electric tariff subsidy is Moderate. These pumps abstract 605 MCM of groundwater.",Small and Marginal farmers hold 76 % of holdings. The average area per holding is 1.66 ha with Very High fragmentation of land.,Ajmer Vidyut Vitran Nigam Limited (AVVNL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is B.,High DISCOM rating alongside feeder segregation and need for groundwater management suggests PM-KUSUM model C (IPS) may be preferred to incentivise groundwater conservation. Model C (FLS) may be promoted with appropriate innovation to incentivise groundwater conservation.
Akola,"District has Very High proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Low with High irrigation water requirements.","Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Moderate. There are 433 surface water bodies, covering 0.4% of district area.","District has 100 pumps, with 90 % of pumps being electric. The electric tariff subsidy is Moderate. These pumps abstract 237 MCM of groundwater.",Small and Marginal farmers hold 75 % of holdings. The average area per holding is 1.5 ha with Moderate fragmentation of land.,Maharashtra State Electricity Distribution Company Limited (MSEDCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C. More than 70 % of feeder is segregated.,"Electric pump proportion is higher, with more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM. High groundwater development suggests PM-KUSUM (IPS) may be preferred to incentivise groundwater conservation."
Alappuzha,"District has High proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Moderate with Low irrigation water requirements.","Groundwater contribution to irrigation is High with current groundwater development stage classified as Low. There are 4239 surface water bodies, covering 0.1% of district area.","District has 100 pumps, with 100 % of pumps being electric. The electric tariff subsidy is Moderate. These pumps abstract 141 MCM of groundwater.",Small and Marginal farmers hold 99 % of holdings. The average area per holding is 0.07 ha with Low fragmentation of land.,Kerala State Electricity Board Limited (KSEBL)  is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is B-.,"Electric pump proportion is higher, however low DISCOM rating and low feeder segregation suggests that implementing PM-KUSUM C model may be challenging. Existing diesel pumps can be prioritised under PM-KUSUM B while investments are made to strengthen DISCOM and feeder segregations."
Aligarh,"District has Very High proportion of area under cultivation, supporting High cropping intensity. Irrigation coverage is Very High with Very High irrigation water requirements.","Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Semi-critical. There are 2410 surface water bodies, covering 0.2% of district area.","District has 100 pumps, with 60 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 30 MCM of groundwater.",Small and Marginal farmers hold 86 % of holdings. The average area per holding is 1.01 ha with Moderate fragmentation of land.,Dakshinanchal Vidyut Vitran Nigam Limited (DVVNL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C-.,"Both electric and diesel pumps are present. With more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM. High groundwater development suggests PM-KUSUM (IPS) may be preferred to incentivise groundwater conservation."
